序号,效力层级,法规名称,发布机关,文号,发布/现行版本日期,时效性,适用范围,来源,来源URL
19,部门规章,民用无人驾驶航空器生产管理若干规定,工业和信息化部,工业和信息化部令第66号,2024/1/1,现行有效,,existing,https://www.pkulaw.com/chl/551933637628089dbdfb.html
20,部门规章,民用无人驾驶航空器经营性飞行活动管理办法(暂行),民航局运输司,MD-TR-2018-01,2018/6/1,现行有效,,existing,http://www.caac.gov.cn/XXGK/XXGK/GFXWJ/201804/P020180409336678475193.pdf
21,部门规章,民用无人驾驶航空器运行安全管理规则(CCAR-92),交通运输部/民航局,交通运输部令2024年第1号,2024/1/3,现行有效,,existing,https://www.caac.gov.cn/XXGK/XXGK/MHGZ/202401/P020240103569247124102.pdf
22,部门规章,空中游览市场管理暂行办法,中国民航局,,2025/9/16,现行有效,,existing,https://dikongjie.com/8283.html
23,部门规章,通用机场管理规定,交通运输部,,2024/12/17,现行有效,,existing,https://dikongjie.com/3592.html
24,国家标准,民用无人驾驶航空器实名登记和激活要求(GB 46761-2025),国家市场监督管理总局、国家标准化管理委员会,GB 46761-2025,2026/5/1,现行有效,,existing,https://openstd.samr.gov.cn/bzgk/gb/
25,国家标准,民用无人驾驶航空器系统安全要求(GB 42590-2023),国家市场监督管理总局、国家标准化管理委员会,GB 42590-2023,2024/1/1,现行有效,,existing,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0DC41035BA23EF2C5B94E6482492AF1E
26,行业规定,中国林学会关于发布《森林草原防火多旋翼无人机喷洒炭化防火剂作业技术规范》等3项团体标准的公告,中国林学会,,2025/1/21,现行有效,,existing,https://www.pkulaw.com/chl/874e7fa44472004fbdfb.html
27,行业规定,中国林学会关于发布团体标准《无人机激光雷达森林地上碳储量估测技术规范》的公告,中国林学会,,2025,现行有效,,existing,https://www.pkulaw.com/chl/a14c5ad3c2f14d37bdfb.html
28,地方性法规,北京市无人驾驶航空器管理规定,北京市人大(含常委会),北京市人民代表大会常务委员会公告〔十六届〕第50号,2026/5/1,现行有效,,existing,https://www.pkulaw.com/lar/c3a19676a0f64a8522dc8735f5c87c73bdfb.html
29,地方性法规,广州市低空经济发展条例,广东广州,,2025/1/21,现行有效,,existing,https://dikongjie.com/4473.html
30,地方性法规,无锡市低空经济发展促进条例,江苏无锡,,2025/8/6,现行有效,,existing,https://dikongjie.com/7848.html
31,地方性法规,浙江省无人驾驶航空器公共安全管理规定,浙江省人大(含常委会),浙江省人民代表大会常务委员会公告第11号,2019/5/1,现行有效,,existing,https://www.pkulaw.com/lar/219b5c40e2c3a901e11ee4a6aa593298bdfb.html
32,地方性法规,深圳经济特区低空经济产业促进条例,深圳市人大常委会,深圳市第七届人大常委会公告,2024/2/1,现行有效,,existing,https://sqzc.gd.gov.cn/rdzt/wlcy/zcsd/content/post_4366262.html
33,地方性法规,珠海经济特区低空交通建设管理条例,珠海,,2024/11/21,现行有效,,existing,https://dikongjie.com/2831.html
34,地方性法规,苏州市低空经济促进条例,苏州市人大常委会,苏州市人大常委会公告,2025/10/1,现行有效,,existing,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202509/69b369ede5ea4961915f726223faddb5.shtml
35,地方规范性文件, 共青城市民用无人驾驶航空器公共安全管理办法,江西共青城,,2025/6/3,现行有效,,existing,https://dikongjie.com/7121.html
36,地方规范性文件,上海市人民政府办公厅关于印发《上海市民用无人驾驶航空器飞行安全管理暂行办法》的通知,上海市人民政府,沪府办规〔2025〕18号,2026/2/1,现行有效,,existing,https://www.pkulaw.com/lar/90d72b06824d73450816ad958d022f29bdfb.html
37,地方规范性文件,上海市民用无人驾驶航空器飞行安全管理暂行办法,上海,,2026/1/4,现行有效,,existing,https://dikongjie.com/9163.html
38,地方规范性文件,上饶市人民政府办公室关于印发上饶市民用无人驾驶航空器公共安全管理办法的通知,上饶市人民政府,饶府办发〔2025〕12号,2025/10/1,现行有效,,existing,https://www.pkulaw.com/lar/fa22cfb35cc152d17140dc10d6d5c914bdfb.html
39,地方规范性文件,中卫市人民政府关于规范中卫沙坡头机场周边通用航空及无人机飞行管理的通告,中卫市人民政府,卫政发〔2016〕119号,2016/10/20,现行有效,,existing,https://www.pkulaw.com/lar/7beba2c611851825634ac908629160f7bdfb.html
40,地方规范性文件,关于规范电力设施周边农用无人驾驶航空器使用的通知,江苏苏州,,2026/6/29,现行有效,,existing,https://dikongjie.com/10177.html
41,地方规范性文件,北京市公安局关于印发《北京市无人驾驶航空器特殊保障规定(试行)》等3部行政规范性文件的通知,北京市公安局,京公无人机发〔2026〕97号,2026/5/1,现行有效,,existing,https://www.pkulaw.com/lar/393c6b25ec8057840145e21603ba0435bdfb.html
42,地方规范性文件,北京市公安局关于印发反恐怖主义行政处罚裁量基准和无人驾驶航空器飞行管理行政处罚裁量基准的通知,北京市公安局,京公反恐特警字〔2024〕733号,2024/8/20,现行有效,,existing,https://www.pkulaw.com/lar/8673b0291e87d24412de19280b5bdcc4bdfb.html
43,地方规范性文件,北京市延庆区低空飞行服务管理办法（试行）,北京延庆,,2025/7/19,现行有效,,existing,https://dikongjie.com/7606.html
44,地方规范性文件,南京市交通运输局、南京市公安局、南京市发展和改革委员会等部门关于印发《南京市民用无人机低空飞行安全管理暂行办法》的通知,南京市交通运输局 南京市公安局 南京市发展和改革委员会 南京市工业和信息化局 南京市规划,宁交规范〔2025〕3号,2026/2/1,现行有效,,existing,https://www.pkulaw.com/lar/7e2d082653f77f6a746b2ac8ae4a26fabdfb.html
45,地方规范性文件,南京市低空飞行服务保障办法（试行）,江苏南京,,2024/12/3,现行有效,,existing,https://dikongjie.com/3181.html
46,地方规范性文件,南京市民用无人机低空飞行安全管理暂行办法,江苏南京,,2026/1/7,现行有效,,existing,https://dikongjie.com/9188.html
47,地方规范性文件,大连市低空飞行服务管理暂行办法,辽宁大连,,2025/6/16,现行有效,,existing,https://dikongjie.com/7240.html
48,地方规范性文件,天津市宁河区投资促进局关于落实《宁河区促进低空经济高质量发展的八条措施》的通知,天津市宁河区其他机构,津宁投促局发〔2024〕1号,2024/5/1,现行有效,,existing,https://www.pkulaw.com/lar/debf0a24029d87bb289e6cda0b8ee2b2bdfb.html
49,地方规范性文件,宝鸡市人民政府办公室关于印发《宝鸡市民用无人机管理暂行规定》的通知,宝鸡市人民政府,宝规[2017]006-市政办001、宝政办发[2017]68号,2017/10/1,已废止,,existing,https://www.pkulaw.com/lar/449e9e179bb070ae0bee8c1d250d4367bdfb.html
50,地方规范性文件,宿迁市政府关于印发宿迁市消防救援无人驾驶航空器应用管理办法的通知,宿迁市人民政府,宿政规发〔2025〕6号,2026/1/10,现行有效,,existing,https://www.pkulaw.com/lar/db06727f0f0124f31b84e8c7987e2b2dbdfb.html
51,地方规范性文件,山东省民用无人驾驶航空器公共安全管理办法,山东,,2025/11/5,现行有效,,existing,https://dikongjie.com/8739.html
52,地方规范性文件,广东省政务服务和数据管理局关于印发《广东省政务领域无人机应用管理办法(试行)》的通知,广东省政务服务数据管理局,,2025/11/13,现行有效,,existing,https://www.pkulaw.com/lar/7c80c5c55ecbc24ed1981213094ff931bdfb.html
53,地方规范性文件,广东省政务领域无人机应用管理办法（试行）,地方,,2025/12/12,现行有效,,existing,https://dikongjie.com/9037.html
54,地方规范性文件,广州市低空垂直起降设施场址选择及建设技术指引（试行）,广东广州,,2025/4/1,现行有效,,existing,https://dikongjie.com/5875.html
55,地方规范性文件,广州市黄埔区发展和改革局、广州开发区发展改革局关于印发广州开发区(黄埔区)促进低空经济高质量发展的若干措施的通知,广州市黄埔区发展和改革局 广州开发区发展和改革局,穗埔发改规字〔2023〕2号,2023/10/24,已废止,,existing,https://www.pkulaw.com/lar/0d8d4dc42f7637ac824df5716ac7087abdfb.html
56,地方规范性文件,广州市黄埔区发展改革局、广州开发区发展改革局关于印发广州开发区(黄埔区)促进低空经济高质量发展的若干措施实施细则的通知,广州市黄埔区发展和改革局 广州开发区发展和改革局,穗埔发改规字〔2023〕3号,2023/12/27,已废止,,existing,https://www.pkulaw.com/lar/1601d8c8f7affc37ea9562d7a42f4b21bdfb.html
57,地方规范性文件,广州开发区发展和改革局、广州市黄埔区发展和改革局关于印发广州开发区(黄埔区)促进低空经济与航空航天高质量发展的若干措施的通知,广州开发区发展和改革局 广州市黄埔区发展和改革局,穗开发改规字〔2025〕2号,2025/6/26,现行有效,,existing,https://www.pkulaw.com/lar/280ae7eb7da5fc7dcef0237daa696413bdfb.html
58,地方规范性文件,成都市经济和信息化局、成都市财政局关于印发《成都市促进工业无人机产业高质量发展的专项政策实施细则》的通知,成都市经济和信息化局 成都市财政局,成经信办〔2024〕11号,2024/4/28,现行有效,,existing,https://www.pkulaw.com/lar/95d71f3ba4c9ad06c13a1b15a84124f5bdfb.html
59,地方规范性文件,攀枝花市人民政府办公室关于做好《四川省民用无人驾驶航空器安全管理暂行规定》贯彻实施工作的通知,攀枝花市人民政府,,2017/9/24,现行有效,,existing,https://www.pkulaw.com/lar/13aebb7c12840bcbdef7eb5b38d30bb1bdfb.html
60,地方规范性文件,新丰县支持低空经济高质量发展若干措施,新丰县人民政府,,2025,现行有效,,existing,https://www.pkulaw.com/lar/220f23e6310966ecf74cc1dbe85b7314bdfb.html
61,地方规范性文件,无锡市城市管理局关于印发《无锡市城市管理局民用无人驾驶航空器管理办法》的通知,无锡市城管局,锡城管发〔2018〕36号,2018/5/2,现行有效,,existing,https://www.pkulaw.com/lar/99878bca3c60e3a275d237a5db46f513bdfb.html
62,地方规范性文件,武汉市人民政府关于印发武汉市民用无人驾驶航空器安全管理暂行办法的通知,武汉市人民政府,武政规〔2025〕5号,2025/5/29,现行有效,,existing,https://www.pkulaw.com/lar/cd7010101aec9328e2f8f90c2efa58e1bdfb.html
63,地方规范性文件,武汉市公安局关于印发《武汉市公安局无人机集群飞行表演活动安全监管工作规范》的通知,武汉市公安局,武公规〔2026〕1号,2026/3/1,现行有效,,existing,https://www.pkulaw.com/lar/11a18afb6f08a054a31cb2b568a97f23bdfb.html
64,地方规范性文件,武汉市公安局无人机集群飞行表演活动安全监管工作规范,湖北武汉,,2026/2/15,现行有效,,existing,https://dikongjie.com/9425.html
65,地方规范性文件,武汉市民用无人驾驶航空器安全管理暂行办法,武汉,,2025/4/28,现行有效,,existing,https://dikongjie.com/6429.html
66,地方规范性文件,江门市人民政府关于印发《江门市民用无人驾驶航空器公共安全管理办法》的通知,江门市人民政府,江府〔2024〕17号,2025/1/1,现行有效,,existing,https://www.pkulaw.com/lar/cdd6827b2fad52c6935536385a23060fbdfb.html
67,地方规范性文件,江门市民用无人驾驶航空器公共安全管理办法,广东江门,,2024/12/23,现行有效,,existing,https://dikongjie.com/3868.html
68,地方规范性文件,沧州市人民政府关于加强对无人机等“低慢小”航空器和空飘物管控的通告,沧州市人民政府,沧政告〔2026〕1号,2026/2/28,现行有效,,existing,https://www.pkulaw.com/lar/58aad172b19caa23a44f108138ece147bdfb.html
69,地方规范性文件,济南市低空经济发展促进办法,山东济南,,2026/1/31,现行有效,,existing,https://dikongjie.com/9343.html
70,地方规范性文件,海关总署公告2026年第78号（关于规范无人机及相关物项出口申报的公告）,地方,,2026/6/10,现行有效,,existing,https://dikongjie.com/10016.html
71,地方规范性文件,海南省“低慢小”航空器活动区域管理办法（试行）,海南,,2024/5/20,现行有效,,existing,https://dikongjie.com/746.html
72,地方规范性文件,海南省交通运输厅关于印发《海南省民用无人机管理办法(暂行)》的通知,海南省交通运输厅,,2020/5/1,现行有效,,existing,https://www.pkulaw.com/lar/b44650ee2fd93181edb270cce0d0c20ebdfb.html
73,地方规范性文件,海南省地质局办公室关于印发《海南省地质局无人机管理规定(试行)》的通知,海南省地质局,琼地办〔2020〕17号,2020/3/19,现行有效,,existing,https://www.pkulaw.com/lar/c33d55a9503bcb3e8a0b4e386ad75d83bdfb.html
74,地方规范性文件,深圳市交通运输局关于印发《深圳市交通运输局＜深圳市支持低空经济高质量发展的若干措施＞实施细则》的通知,深圳市交通运输局,深交规〔2025〕10号,2025/10/9,现行有效,,existing,https://www.pkulaw.com/lar/1c515e1b12fe49424aab75b5833a91dabdfb.html
75,地方规范性文件,深圳市宝安区人民政府办公室印发深圳市宝安区关于促进低空经济产业发展若干措施的通知,深圳市宝安区人民政府,深宝府办〔2023〕9号,2023/7/29,现行有效,,existing,https://www.pkulaw.com/lar/29b7ee6340219a33b28bf3ba8787a059bdfb.html
76,地方规范性文件,深圳市龙岗区发展和改革局关于印发《深圳市龙岗区发展和改革专项资金关于支持低空经济产业高质量发展实施细则(修订)》的通知,深圳市龙岗区发展和改革局,深龙发改规〔2026〕2号,2026/4/13,现行有效,,existing,https://www.pkulaw.com/lar/d51f050187ae04e95f4cc5c959640cfebdfb.html
77,地方规范性文件,深圳市龙岗区工业和信息化局关于印发《深圳市龙岗区工业和信息化产业发展专项资金关于支持低空经济产业发展实施细则》的通知,深圳市龙岗区工业和信息化局,深龙工信规〔2024〕4号,2024/5/20,现行有效,,existing,https://www.pkulaw.com/lar/342e41845d27f7e7948d0e624ad00469bdfb.html
78,地方规范性文件,温州市人民政府办公室关于印发温州市支持低空经济高质量发展的若干措施和温州市低空飞行服务保障办法(试行)的通知,温州市人民政府,温政办〔2026〕4号,2026/2/20,现行有效,,existing,https://www.pkulaw.com/lar/21a00e685f4e7de3fb85b7a6e1f6164abdfb.html
79,地方规范性文件,温州市低空飞行服务保障办法（试行）,浙江温州,,2026/2/3,现行有效,,existing,https://dikongjie.com/9353.html
80,地方规范性文件,湖北省低空飞行服务工作程序指引（试行）,湖北,,2025/12/12,现行有效,,existing,https://dikongjie.com/9038.html
81,地方规范性文件,湖南省人民政府办公厅关于印发《湖南省无人驾驶航空器公共安全管理暂行办法》的通知,湖南省人民政府,湘政办发〔2022〕72号,2022/12/30,现行有效,,existing,https://www.pkulaw.com/lar/6c2ce546f2be1547af78e0561284beb3bdfb.html
82,地方规范性文件,湖南省公安厅、湖南省工业和信息化厅、湖南省市场监督管理局、湖南省邮政管理局关于印发《湖南省无人驾驶航空器全生命周期备...,湖南省公安厅 湖南省工业和信息化厅 湖南省市场监督管理局 湖南省邮政管理局,湘公发〔2025〕13号,2025/12/29,现行有效,,existing,https://www.pkulaw.com/lar/d47375421f1ae0b73af27398f2c85d12bdfb.html
83,地方规范性文件,珠海市低空数据管理办法,广东珠海,,2026/4/21,现行有效,,existing,https://dikongjie.com/9641.html
84,地方规范性文件,福州市低空飞行服务保障办法（试行）（送审稿）,福建福州,,2025/8/5,现行有效,,existing,https://dikongjie.com/7861.html
85,地方规范性文件,福建省航空应急救援大中型无人机管理使用暂行规定,福建省应急管理厅,,2026/3/24,现行有效,,existing,https://dikongjie.com/9576.html
86,地方规范性文件,秋季主要粮油作物植保无人飞机“一喷多促”技术指导意见,全国农技中心,,2025/7/25,现行有效,,existing,https://dikongjie.com/7695.html
87,地方规范性文件,绍兴市低空飞行服务保障办法（试行）,浙江绍兴,,2025/5/8,现行有效,,existing,https://dikongjie.com/6558.html
88,地方规范性文件,绍兴市低空飞行突发事件应急预案,绍兴,,2025/10/13,现行有效,,existing,https://dikongjie.com/8564.html
89,地方规范性文件,自贡市低空飞行服务管理办法（试行）,四川自贡,,2025/5/22,现行有效,,existing,https://dikongjie.com/6956.html
90,地方规范性文件,芜湖市人民政府关于印发芜湖市民用无人驾驶航空器公共安全管理暂行办法的通知,芜湖市人民政府,芜政〔2025〕61号,2025/9/10,现行有效,,existing,https://www.pkulaw.com/lar/57a9281e803ab466e906b7868b180efebdfb.html
91,地方规范性文件,苏州市低空飞行服务管理办法（试行）,江苏苏州,,2024/10/18,现行有效,,existing,https://dikongjie.com/1603.html
92,地方规范性文件,衢州市自然资源和规划局关于印发《衢州市自然资源和规划局关于进一步加强衢州市测绘领域无人驾驶航空器管理的意见》的通知,衢州市自然资源和规划局,衢自然资规〔2023〕113号,2023/11/3,现行有效,,existing,https://www.pkulaw.com/lar/c40d37dc1617679505535dd115615c21bdfb.html
93,地方规范性文件,鄂尔多斯市人民政府关于印发鄂尔多斯市民用无人驾驶航空器公共安全管理暂行办法的通知,鄂尔多斯市人民政府,鄂府发〔2026〕36号,2026/5/14,现行有效,,existing,https://www.pkulaw.com/lar/70c607786bc93bb8e13ea20624981e64bdfb.html
94,地方规范性文件,钦州市人民政府办公室关于印发《钦州市低空政务智能无人机应用管理暂行办法》的通知,钦州市人民政府,钦政办〔2026〕14号,2026/6/18,现行有效,,existing,https://www.pkulaw.com/lar/e4d8e654b0e4721f38c018c34b1b9114bdfb.html
95,地方规范性文件,钦州市低空政务智能无人机应用管理暂行办法,广西钦州,,2026/6/30,现行有效,,existing,https://dikongjie.com/10182.html
96,地方规范性文件,韶关市升放气球安全管理规定,广东韶关,,2024/12/25,现行有效,,existing,https://dikongjie.com/3980.html
97,地方规范性文件,黄石市人民政府办公室关于印发《黄石市民用无人驾驶航空器安全管理暂行办法》的通知,黄石市人民政府,黄政办发〔2026〕6号,2026/4/1,现行有效,,existing,https://www.pkulaw.com/lar/9474f33c09d5685ccdf64b03192d2c9dbdfb.html
98,部门规范性文件,不可靠实体清单工作机制公告2025年第10号——关于将反无人机技术公司等外国实体列入不可靠实体清单的公告,商务部,不可靠实体清单工作机制公告2025年第10号,2025/10/9,现行有效,,existing,https://www.pkulaw.com/chl/02bc15d0774b161bbdfb.html
99,部门规范性文件,中国民用航空局综合司、农业农村部办公厅关于印发《农用无人驾驶航空器操控员培训管理规定(试行)》的通知,中国民用航空局 农业农村部,民航综飞发〔2025〕1号,2025/1/23,现行有效,,existing,https://www.pkulaw.com/chl/1512d099f1541a27bdfb.html
100,部门规范性文件,商务部、海关总署、中央军委装备发展部公告2024年第31号――关于优化调整无人机出口管制措施的公告,商务部 海关总署 中央军委装备发展部,商务部、海关总署、中央军委装备发展部公告2024年第31号,2024/9/1,已废止,,existing,https://www.pkulaw.com/chl/714df89904610dfbbdfb.html
101,部门规范性文件,民用无人机驾驶员管理规定(2016修订),中国民用航空局,,2016/7/11,已废止,,existing,https://www.pkulaw.com/chl/506a6b9f3b87569dbdfb.html
102,部门规范性文件,民用无人驾驶航空器实名制登记管理规定,中国民用航空局,,2017/5/16,已废止,,existing,https://www.pkulaw.com/chl/c165b7fc2f982a1fbdfb.html
103,部门规范性文件,民用无人驾驶航空器系统驾驶员管理暂行规定,中国民用航空局,,2013/11/18,已废止,,existing,https://www.pkulaw.com/chl/40f8744957823528bdfb.html
104,部门规范性文件,民航局关于印发《轻小型民用无人机飞行动态数据管理规定》的通知,中国民用航空局,民航规〔2019〕64号,2019/11/19,现行有效,,existing,https://www.pkulaw.com/chl/90a68966c8f45b35bdfb.html
105,部门规范性文件,民航局空管办关于下发《民用无人驾驶航空器系统空中交通管理办法》的通知(2016修订),中国民用航空局,局发明电〔2016〕2630号,2016/9/21,现行有效,,existing,https://www.pkulaw.com/chl/bce9d7bc6ae78f2abdfb.html
106,部门规范性文件,海关总署公告2026年第78号――关于规范无人机及相关物项出口申报的公告,海关总署,海关总署公告2026年第78号,2026/6/30,现行有效,,existing,https://www.pkulaw.com/chl/e0e4d4ac2c63502bbdfb.html
107,部门规范性文件,轻小无人机运行规定(试行),中国民用航空局,,2015/12/29,部分失效,,existing,https://www.pkulaw.com/chl/f48a74a98f33d72cbdfb.html
108,法律,中华人民共和国刑法,全国人大及常委会,"主席令(1997修订,含修正案十二)",1997/10/1,现行有效,黑飞危害公共安全/非法测绘/危害国家秘密等相关罪名,检索发现,
109,法律,中华人民共和国安全生产法,全国人大常委会,主席令(2021修正),2021/9/1,现行有效,运营人安全生产责任;CCAR-92制定依据之一,检索发现,
110,法律,中华人民共和国行政处罚法,全国人大常委会,主席令(2021修订),2021/7/15,现行有效,地方处罚裁量基准的上位依据,检索发现,
111,法律,中华人民共和国行政许可法,全国人大常委会,主席令(2019修正),,现行有效,适航许可/运营合格证等行政许可依据,检索发现,
112,法律,中华人民共和国体育法,全国人大常委会,主席令(2022修订),2023/1/1,现行有效,模型航空器飞行管理办法制定依据,检索发现,
113,法律,中华人民共和国保守国家秘密法,全国人大常委会,主席令(2024修订),2024/5/1,现行有效,涉密区域航拍/测绘保密,检索发现,
114,行政法规,中华人民共和国地图管理条例,国务院,国令第664号,2016/1/1,现行有效,航拍地图审核/国家版图管理,检索发现,
115,行政法规,民用航空安全保卫条例,国务院,(2011修订),,现行有效,机场周边安保,检索发现,
116,行政法规,生产安全事故应急条例,国务院,国令第708号,2019/4/1,现行有效,运营事故应急处置,检索发现,
117,部门规章,模型航空器飞行管理办法,国家体育总局,体航管规字〔2024〕7号,2024/11/18,现行有效,"★库内缺;航模飞行管理,有效期至2029-11-17",检索发现,
118,部门规章,无人驾驶航空器(遥控模型航空器)飞行员执照管理办法,中国航空运动协会,中航协字〔2020〕37号,2021/1/1,现行有效,★库内缺;航模飞行员执照,检索发现,
119,部门规章,民用航空空中交通管理规则(CCAR-93TM),交通运输部,(2022修正),,现行有效,★库内缺;第十八章含无人驾驶航空器空管,检索发现,
120,部门规章,民用航空器驾驶员合格审定规则(CCAR-61),中国民用航空局,(2022修订),,现行有效,驾驶员合格审定,检索发现,
121,部门规章,一般运行和飞行规则(CCAR-91),中国民用航空局,,,现行有效,通用航空运行规则,检索发现,
122,部门规章,民用航空产品和零部件合格审定规定(CCAR-21),中国民用航空局,,,现行有效,无人机适航审定依据,建议补充,
123,国家标准,民用无人驾驶航空器系统 术语,国标委,GB/T 38152-2019,,现行有效,术语定义,建议补充,
124,国家标准,民用无人驾驶航空器系统 分类及分级,国标委,GB/T 35018-2018,,现行有效,分类分级,建议补充,
125,国家标准,民用多旋翼无人机系统试验方法,国标委,GB/T 38058-2019,,现行有效,试验方法,建议补充,
126,国家标准,民用无人驾驶航空器 网络式运行识别,国标委,GB 46750系列(待核实),,待核实,配套运行识别公告;宜补,建议补充,
127,规范性文件,关于加强信息通信业能力建设支撑低空基础设施发展的实施意见,工信部/网信办/空管办/发改委/民航局,工信厅联通信〔2026〕4号,2026,现行有效,★库内缺;低空通信/感知/导航基础设施,检索发现,
128,规范性文件,低空无人机应用公路桥梁巡检技术指南(试行),交通运输部办公厅,,,现行有效,公路桥梁无人机巡检,检索发现,
129,行业标准,民用无人驾驶航空器系统 MH行业标准系列,中国民用航空局,MH/T 系列(待核实),,待核实,民航行业标准,建议补充,
130,团体标准,消防救援无人机操控员等4部团体标准,中国消防协会,,,现行有效,消防救援无人机团体标准,检索发现,
131,部门规范性文件,无人机快递投递服务规范(邮政行业标准),国家邮政局,YZ/T 行业标准,,现行有效,无人机物流投递,检索发现,
132,地方性法规,江苏省低空经济发展条例,江苏省人大常委会,,,待核实,建议补充;省级低空经济立法,建议补充,
133,地方性法规,湖北省低空经济发展促进条例,湖北省人大常委会,,,待核实,建议补充;省级低空经济立法,建议补充,
134,地方政府规章,四川省(成都市)无人驾驶航空器/低空经济管理规定,四川省/成都市,,,待核实,建议补充;成都为低空经济重点城市,建议补充,
135,地方政府规章,重庆市无人驾驶航空器/低空经济管理规定,重庆市,,,待核实,建议补充,建议补充,
136,地方政府规章,安徽省(合肥市)低空经济管理办法,安徽省/合肥市,,,待核实,建议补充;合肥为低空经济重点城市,建议补充,
137,地方政府规章,浙江省(杭州市)低空经济促进条例,浙江省/杭州市,,,待核实,建议补充,建议补充,
138,地方政府规章,天津市低空经济/无人机管理规定,天津市,,,待核实,建议补充,建议补充,
139,地方政府规章,河南省(郑州市)低空经济发展条例,河南省/郑州市,,,待核实,建议补充,建议补充,
140,地方政府规章,陕西省(西安市)无人驾驶航空器管理规定,陕西省/西安市,,,待核实,建议补充,建议补充,
141,司法解释,最高法关于审理高空抛物坠物等案件的司法解释,最高人民法院,,,现行有效,坠机致害裁判参照,建议补充,
142,部门规章,一般运行和飞行规则(CCAR-91-R4),中国民航局,交通运输部令(CCAR-91 R4),2022-01-01,现行有效,民用航空器一般运行与飞行规则(通航/无人机部分条款参照),库存-law精选,https://www.caac.gov.cn/
143,规范性文件,轻小无人机运行规定(试行)(AC-91-FS-2015-31),中国民航局飞标司,AC-91-FS-2015-31,2015-12-29,现行有效(部分被CCAR-92吸收),轻小型无人机分类(I-XI类)运行要求、云系统接入,库存-law精选,https://www.caac.gov.cn/
144,规范性文件,民用无人驾驶航空器操控员管理规定(AC-61-FS-020R3),中国民航局飞标司,AC-61-FS-020R3,2024,现行有效,无人机操控员执照/等级、训练与考试(替代原驾驶员管理规定),库存-law精选,https://www.caac.gov.cn/
145,规范性文件,民用无人驾驶航空器系统空中交通管理办法(MD-TM-2016-004),中国民航局空管办,MD-TM-2016-004,2016-09-21,现行有效,无人机系统空中交通服务与空域协调,库存-law精选,https://www.caac.gov.cn/
146,规范性文件,民用无人驾驶航空器系统适航审定管理程序(AP-21-AA-2022-71),中国民航局适航司,AP-21-AA-2022-71,2022,现行有效,无人机系统适航审定(型号合格审定)程序,库存-law精选,https://www.caac.gov.cn/
147,规范性文件,民用无人驾驶航空器实名制登记管理规定(AP-45-AA-2017-03),中国民航局,AP-45-AA-2017-03,2017-06-01,已废止/被取代,250g以上无人机实名登记(旧制),库存-law精选,https://www.caac.gov.cn/
148,规范性文件,D类(限用类)无人驾驶航空器系统失效状态(AC-21-AA-2022-40),中国民航局适航司,AC-21-AA-2022-40,2022,现行有效,D类限用类无人机系统失效状态与安全性分析,库存-law精选,https://www.caac.gov.cn/
