序号,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
34,规范性文件,无人驾驶航空器系统信息通告(IB-TM-2022-05),中国民航局空管办,IB-TM-2022-05,2022,2022,现行有效,无人机系统运行相关信息通告,否,law/04_规范性文件/IB-TM-2022-05_无人驾驶航空器系统信息通告.pdf,https://www.caac.gov.cn/,
35,标准,民用无人驾驶航空器系统运行识别规范(GB 46750-2025),市场监管总局(标准委)/民航局,GB 46750-2025,2025-10-31,2026-05-01,现行有效(强制性国标),★无人机运行全过程主动报送身份/位置/速度识别信息(广播式+网络式)技术要求,否,law/05_标准/GB 46750-2025 民用无人驾驶航空器系统运行识别规范.pdf,https://www.caac.gov.cn/,
36,标准,民用无人驾驶航空器实名登记和激活要求(GB 46761-2025),市场监管总局(标准委)/民航局,GB 46761-2025,2025-10-31,2026-05-01,现行有效(强制性国标),★250g以上无人机实名登记+一机一码强制激活(替代2017实名制规定),否,law/05_标准/GB 46761-2025 民用无人驾驶航空器实名登记和激活要求.pdf,https://www.caac.gov.cn/,⚠官方PDF逐字空格/多栏，自动抽取碎片严重，待Word版或人工整理后入库
37,标准,民用无人驾驶航空器系统安全要求(GB 42590-2023),市场监管总局(标准委)/工信部提出归口,GB 42590-2023,2023-05-23,2024-06-01(主要条款提前至2024-01-01),现行有效(强制性国标·首项),★除航模外微/轻/小型无人机的研制/生产/交付/使用；规定电子围栏、远程识别、应急处置、感知避让等17项强制技术要求及试验方法；761号条例核心配套支撑标准,是,law/05_标准/GB 42590-2023 民用无人驾驶航空器系统安全要求.pdf,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0DC41035BA23EF2C5B94E6482492AF1E,"2026-08-04 OCR入库(rapidocr-onnxruntime,38页扫描件无文字层→31条chunk：第3章术语定义(微/轻/小型法定阈值)+第4章17项安全要求4.1~4.17)；第5章试验方法表格密集、检测操作细节，未逐条入库"
38,标准,民用微轻小型无人驾驶航空器运行识别最低性能要求(试行)(IB-TM-2024-01),中国民航局空管办,IB-TM-2024-01,2024,2024,现行有效,微/轻/小型无人机运行识别最低性能(信息通告),否,law/05_标准/IB-TM-2024-01 民用微轻小型无人驾驶航空器运行识别最低性能要求(试行) 信息通告.pdf,https://www.caac.gov.cn/,与 05_标准/民用微轻小型…(试行).pdf 内容同源，注意去重
39,标准,无人机围栏(MH-T 2008-2017),中国民航局,MH/T 2008-2017,2017,2017,现行有效(民航行业标准),电子围栏技术要求,否,law/05_标准/MH-T 2008-2017 无人机围栏.pdf,https://www.caac.gov.cn/,
40,标准,无人机云系统接口数据规范(MH-T 2009-2017),中国民航局,MH/T 2009-2017,2017,2017,现行有效(民航行业标准),无人机云系统接口数据,是,law/05_标准/MH-T 2009-2017 无人机云系统接口数据规范.pdf,https://www.caac.gov.cn/,
41,标准,无人机云系统数据规范(MH-T 2011-2019),中国民航局,MH/T 2011-2019,2019,2019,现行有效(民航行业标准),无人机云系统数据,是,law/05_标准/MH-T 2011-2019 无人机云系统数据规范.pdf,https://www.caac.gov.cn/,
42,标准,民用无人驾驶航空器系统分布式操控员能力要求与评估(MH-T 2018-2026),中国民航局,MH/T 2018-2026,2026,2026,现行有效(民航行业标准),分布式操控员能力与评估,否,law/05_标准/MH-T 2018-2026 民用无人驾驶航空器系统分布式操控员能力要求与评估.pdf,https://www.caac.gov.cn/,
43,标准,大型民用无人驾驶航空器系统操控员训练要求(MH-T 2019-2026),中国民航局,MH/T 2019-2026,2026,2026,现行有效(民航行业标准),大型无人机操控员训练,否,law/05_标准/MH-T 2019-2026 大型民用无人驾驶航空器系统操控员训练要求.pdf,https://www.caac.gov.cn/,
44,标准,民用无人驾驶航空器空域信息数字化技术要求 第1部分:编码及使用(MH-T 4063.1-2026),中国民航局,MH/T 4063.1-2026,2026,2026,现行有效(民航行业标准),低空空域信息数字化编码,否,law/05_标准/MH-T 4063.1-2026 民用无人驾驶航空器空域信息数字化技术要求 第1部分 编码及使用.pdf,https://www.caac.gov.cn/,
45,标准,民用无人驾驶航空器航行服务系统数据安全技术要求(MH-T 4064-2026),中国民航局,MH/T 4064-2026,2026,2026,现行有效(民航行业标准),航行服务系统数据安全,否,law/05_标准/MH-T 4064-2026 民用无人驾驶航空器航行服务系统数据安全技术要求.pdf,https://www.caac.gov.cn/,
46,标准,民用无人驾驶航空器降落伞系统规范(MH-T 6140-2026),中国民航局,MH/T 6140-2026,2026,2026,现行有效(民航行业标准),无人机降落伞系统,否,law/05_标准/MH-T 6140-2026 民用无人驾驶航空器降落伞系统规范.pdf,https://www.caac.gov.cn/,
47,标准,民用微轻小型无人驾驶航空器运行识别最低性能要求(试行),中国民航局空管办,(同 IB-TM-2024-01),2024,2024,现行有效,微/轻/小型无人机运行识别最低性能,否,law/05_标准/民用微轻小型无人驾驶航空器运行识别最低性能要求(试行).pdf,https://www.caac.gov.cn/,与 IB-TM-2024-01 同源，入库时择一/去重
48,地方性法规/地方规章,深圳经济特区低空经济产业促进条例,深圳市人民代表大会常务委员会,深圳市第七届人民代表大会常务委员会公告,2024-01-03,2024-02-01,有效 / 地方性法规,地方低空经济产业促进/飞行服务保障,是,law/06_地方性法规/深圳市深圳经济特区低空经济产业促进条例.html,https://sqzc.gd.gov.cn/rdzt/wlcy/zcsd/content/post_4366262.html,种子；全国首部低空经济专项立法（广东省政策库同文源，深圳人大站证书兼容问题）
49,地方性法规/地方规章,苏州市低空经济促进条例,苏州市人民代表大会常务委员会,苏州市人民代表大会常务委员会公告,2025-08-06,2025-10-01,有效 / 地方性法规,地方低空经济产业促进/飞行服务保障,是,law/06_地方性法规/苏州市苏州市低空经济促进条例.html,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202509/69b369ede5ea4961915f726223faddb5.shtml,种子
50,地方性法规/地方规章,无锡市低空经济发展促进条例,无锡市人民代表大会常务委员会,无锡市人民代表大会常务委员会公告,2025-08,2025-10-01,有效 / 地方性法规,地方低空经济产业促进/飞行服务保障,否,law/06_地方性法规/无锡市无锡市低空经济发展促进条例.html,https://www.wuxi.gov.cn/doc/2025/08/11/4627089.shtml,2025-06-27 无锡市人大常委会通过，2025-07-30 江苏省人大常委会批准
51,地方性法规/地方规章,广州市低空经济发展条例,广州市人民代表大会常务委员会,广州市第十六届人民代表大会常务委员会公告,2025-01-21,2025-02-28,有效 / 地方性法规,地方低空经济产业促进/飞行服务保障,否,law/06_地方性法规/广州市广州市低空经济发展条例.html,https://www.rd.gz.cn/xwdt/content/post_257581.html,2024-11-29 市人大常委会通过，2025-01-12 广东省人大常委会批准
52,地方性法规/地方规章,珠海经济特区低空交通建设管理条例,珠海市人民代表大会常务委员会,珠海市人民代表大会常务委员会〔十届〕第四十五号,2024-11-21,2025-01-01,有效 / 地方性法规,地方低空经济产业促进/飞行服务保障,否,law/06_地方性法规/珠海市珠海经济特区低空交通建设管理条例.html,https://www.hengqin.gov.cn/lab/flfg/zhdffg/content/post_3734944.html,经济特区所在市地方性法规；含横琴粤澳深度合作区特别规定
53,地方性法规/地方规章,济南市低空经济发展促进办法,济南市人民政府,济南市人民政府令,2026,2026,有效 / 地方政府规章,地方低空经济产业促进/飞行服务保障,否,law/06_地方性法规/济南市济南市低空经济发展促进办法.html,https://www.moj.gov.cn/pub/sfbgw/flfggz/flfggzdfzwgz/202605/t20260513_534843.html,地方政府规章（管理办法），司法部地方政府规章库
54,地方性法规/地方规章,芜湖市低空经济健康发展促进办法,芜湖市人民政府,芜湖市人民政府令第75号,2026-01-27,2026-03-01,有效 / 地方政府规章,地方低空经济产业促进/飞行服务保障,否,law/06_地方性法规/芜湖市芜湖市低空经济健康发展促进办法.html,https://www.wuhu.gov.cn/openness/public/6596211/40511251.html,地方政府规章（管理办法）；安徽省首部低空经济领域地方立法
55,地方性法规/地方规章,南京市低空飞行服务保障办法(试行),南京市人民政府,南京市人民政府,2024-11-22,2025-01-01,有效 / 地方政府规章,地方低空经济产业促进/飞行服务保障,否,law/06_地方性法规/南京市南京市低空飞行服务保障办法(试行).html,https://www.nanjing.gov.cn/xxgkn/szgfxwj/202412/t20241203_5024696.html,行政规范性文件（试行，试行期两年）；低空飞行服务保障办法
56,解读与案例,国家空中交通管理委员会办公室负责人就《无人驾驶航空器飞行管理暂行条例》答记者问,司法部/国家空管委办公室,,2023-06-29,,解读,关联:无人驾驶航空器飞行管理暂行条例,是,law/07_解读与案例/空管委办公室负责人就无人驾驶航空器飞行管理暂行条例答记者问.html,https://www.moj.gov.cn/pub/sfbgwapp/zwgk/jdhyApp/202306/t20230629_481610.html,
57,解读与案例,《无人驾驶航空器飞行管理暂行条例》政策解读（司法部）,司法部,,2023-06-29,,解读,关联:无人驾驶航空器飞行管理暂行条例,是,law/07_解读与案例/司法部_无人驾驶航空器飞行管理暂行条例政策解读.html,https://www.moj.gov.cn/pub/sfbgw/zcjd/202306/t20230629_481601.html,
58,解读与案例,专家解读：完善配套措施确保法规落实（《无人驾驶航空器飞行管理暂行条例》）,司法部,,2023-06-29,,解读,关联:无人驾驶航空器飞行管理暂行条例,否,law/07_解读与案例/专家解读_完善配套措施确保法规落实.html,https://www.moj.gov.cn/pub/sfbgwapp/zwgk/jdhyApp/202306/t20230629_481607.html,
59,解读与案例,《无人驾驶航空器飞行管理暂行条例》解读（司法部信息公开·解读回应）,司法部,,2023-06-29,,解读,关联:无人驾驶航空器飞行管理暂行条例,是,law/07_解读与案例/司法部信息公开_无人驾驶航空器飞行管理暂行条例解读.html,https://www.moj.gov.cn/pub/sfbgw/zwxxgk/fdzdgknr/fdzdgknrjdhy/202306/t20230629_481604.html,
60,解读与案例,民航局召开视频会议宣贯《民用无人驾驶航空器运行安全管理规则》(CCAR-92部),中国民航局,,2024-03-28,,解读,关联:CCAR-92 民用无人驾驶航空器运行安全管理规则,是,law/07_解读与案例/民航局宣贯CCAR-92运行安全管理规则.html,http://www.caacnews.com.cn/special/2024NZT/8024/20191xgbd/202403/t20240328_1376927.html,
61,解读与案例,解读 | 《民用无人驾驶航空器经营性飞行活动管理办法（暂行）》,中国民航局,,2018-04-09,,解读,关联:民用无人驾驶航空器经营性飞行活动管理办法(暂行),是,law/07_解读与案例/解读_民用无人驾驶航空器经营性飞行活动管理办法.html,http://www.caac.gov.cn/XXGK/XXGK/ZCJD/201804/t20180409_56264.html,
62,解读与案例,解读丨强制性国家标准《民用无人驾驶航空器实名登记和激活要求》(GB 46761-2025),中国民航局,,2026-04-21,,解读,关联:GB 46761-2025 民用无人驾驶航空器实名登记和激活要求,否,law/07_解读与案例/解读_民用无人驾驶航空器实名登记和激活要求GB46761.html,http://www.caac.gov.cn/XXGK/XXGK/ZCFBJD/202604/t20260421_230620.html,
63,解读与案例,强制性国家标准《民用无人驾驶航空器实名登记和激活要求》重点问题解答,中国民航局,,2026-04-21,,解读,关联:GB 46761-2025 民用无人驾驶航空器实名登记和激活要求,否,law/07_解读与案例/GB46761实名登记和激活要求_重点问题解答.pdf,http://www.caac.gov.cn/XXGK/XXGK/ZCJD/202604/P020260421533372627527.pdf,
64,解读与案例,解读丨强制性国家标准《民用无人驾驶航空器系统运行识别规范》(GB 46750-2025),中国民航局,,2026-01-20,,解读,关联:GB 46750-2025 民用无人驾驶航空器系统运行识别规范,否,law/07_解读与案例/解读_民用无人驾驶航空器系统运行识别规范GB46750.html,https://www.caac.gov.cn/XXGK/XXGK/ZCFBJD/202601/t20260120_229793.html,
65,解读与案例,中国民用航空局关于民用无人驾驶航空器监管服务有关事宜的公告,中国民航局,,2023-12-31,,解读,关联:无人驾驶航空器飞行管理暂行条例,否,law/07_解读与案例/民航局关于民用无人驾驶航空器监管服务有关事宜的公告.html,https://www.caac.gov.cn/XXGK/XXGK/TZTG/202312/t20231231_222550.html,
66,解读与案例,公安部公布依法打击无人机“黑飞”违法犯罪典型案例（新华网发布）,新华网/公安部,,2026-02-04,,案例,关联:无人驾驶航空器飞行管理暂行条例/治安管理处罚法/刑法,否,law/07_解读与案例/新华网_公安部无人机黑飞典型案例.html,https://www.news.cn/legal/20260204/a7216ea1724e47fe88da2ff845cdc8d3/c.html,公安部案例的权威媒体发布版
67,解读与案例,“空中刺客”频现：无人机治理刻不容缓（最高检）,最高人民检察院,,2025-12-22,,案例,关联:无人驾驶航空器飞行管理暂行条例,否,law/07_解读与案例/最高检_空中刺客频现无人机治理刻不容缓.html,https://www.spp.gov.cn/spp/zdgz/202512/t20251222_714201.shtml,含检察公益诉讼办案情况
68,解读与案例,重庆梁平区：检察公益诉讼推动消除无人机“黑飞”隐患（最高检）,最高人民检察院,,2026-04-21,,案例,关联:无人驾驶航空器飞行管理暂行条例,否,law/07_解读与案例/最高检_重庆梁平区检察公益诉讼消除无人机黑飞隐患.html,https://www.spp.gov.cn/spp/dfjcdt/202604/t20260421_726166.shtml,
69,解读与案例,充分发挥职能作用 服务低空经济高质量发展（最高检·无人机黑飞治理）,最高人民检察院,,2025-05-26,,案例,关联:无人驾驶航空器飞行管理暂行条例,否,law/07_解读与案例/最高检_充分发挥职能作用服务低空经济黑飞治理.html,https://www.spp.gov.cn/spp/llyj/202505/t20250526_696560.shtml,
