序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
12,pkulaw,法规,地方工作文件,2026年度枣庄市人力资源和社会保障局关于市十七届人大六次会议第125号代表建议的答复(关于进一步完善全市低空经济产业扶持政...,枣庄市人力资源和社会保障局,,2026-05-22,2026-05-22,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\2026年度枣庄市人力资源和社会保障局关于市十七届人大六次会议第125号代表建议的答复(关于进一步完善全市低空经济产业扶持政...(FBMCLI.14.9979070).pdf,https://www.pkulaw.com/lar/838ecd5228d5c6e8983b8091681466aebdfb.html,引证码FBMCLI.14.9979070｜未知位阶/无条文:地方工作文件
13,pkulaw,法规,设区的市地方性法规,《苏州市低空经济促进条例(草案)》征求意见公告,苏州市人大(含常委会),,2025-03-12,,,,否,pkulaw\raw_pdf\低空经济\低空经济\《苏州市低空经济促进条例(草案)》征求意见公告(FBMCLI.DL.42136).pdf,https://www.pkulaw.com/protocol/dadc8e7002ba4b53c0ee9c7d787d4c0bbdfb.htm,引证码FBMCLI.DL.42136｜有附件｜未知位阶/无条文:设区的市地方性法规
14,pkulaw,法规,,《重庆市推动低空经济高质量发展若干政策措施》政策解读,,,,,,,否,pkulaw\raw_pdf\低空经济\低空经济\《重庆市推动低空经济高质量发展若干政策措施》政策解读(FBMCLI.N.135224).pdf,https://www.pkulaw.com/news/e04728f596d3cc5ebdfb.html,引证码FBMCLI.N.135224｜未知位阶/无条文:空
15,pkulaw,法规,地方工作文件,上海市人力资源和社会保障局关于举办新质生产力赋能低空经济发展高级研修项目的通知,上海市人力资源和社会保障局,沪人社专〔2025〕107号,2025-04-22,2025-04-22,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\上海市人力资源和社会保障局关于举办新质生产力赋能低空经济发展高级研修项目的通知(FBMCLI.14.8716599).pdf,https://www.pkulaw.com/lar/399cf5029734cab571090f3facf0cb16bdfb.html,引证码FBMCLI.14.8716599｜有附件｜未知位阶/无条文:地方工作文件
16,pkulaw,法规,地方工作文件,上海市人民政府办公厅关于印发《上海市低空经济产业高质量发展行动方案(2024―2027年)》的通知,上海市人民政府,沪府办发〔2024〕13号,2024-07-25,2024-07-25,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\上海市人民政府办公厅关于印发《上海市低空经济产业高质量发展行动方案(2024―2027年)》的通知(FBMCLI.14.7708258).pdf,https://www.pkulaw.com/lar/6118e068e481bf360ecb16cfc9a3163fbdfb.html,引证码FBMCLI.14.7708258｜未知位阶/无条文:地方工作文件
17,pkulaw,法规,地方工作文件,上海市嘉定区人民政府办公室关于印发《嘉定区推动低空经济产业高质量发展行动方案》的通知,上海市嘉定区人民政府,嘉府办发〔2024〕27号,2024-12-20,2024-12-20,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\上海市嘉定区人民政府办公室关于印发《嘉定区推动低空经济产业高质量发展行动方案》的通知(FBMCLI.14.8452124).pdf,https://www.pkulaw.com/lar/c53ad190b74b1775272763f811a3ac9abdfb.html,引证码FBMCLI.14.8452124｜未知位阶/无条文:地方工作文件
18,pkulaw,法规,地方工作文件,上海市市场监督管理局关于同意上海市低空经济标准化技术委员会组建方案的批复,上海市市场监督管理局,沪市监标准〔2026〕153号,2026-07-15,2026-07-15,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\上海市市场监督管理局关于同意上海市低空经济标准化技术委员会组建方案的批复(FBMCLI.14.10124111).pdf,https://www.pkulaw.com/lar/b7353cd0965d1953a6676ba089f92554bdfb.html,引证码FBMCLI.14.10124111｜行政事务性通知(非规范文本)
19,pkulaw,法规,地方工作文件,上海市杨浦区人民政府关于印发《杨浦区促进低空经济发展的若干措施(试行)》的通知,上海市杨浦区人民政府,杨府发〔2024〕10号,2024-10-24,2024-10-24,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\上海市杨浦区人民政府关于印发《杨浦区促进低空经济发展的若干措施(试行)》的通知(FBMCLI.14.7917686).pdf,https://www.pkulaw.com/lar/13bd8bde26a5c26181f63b6445ac2273bdfb.html,引证码FBMCLI.14.7917686｜未知位阶/无条文:地方工作文件
20,pkulaw,法规,地方工作文件,上海市经济信息化委关于征集上海市低空经济产业重点项目的通知,上海市经济和信息化委员会,沪经信装〔2024〕388号,2024-09-06,2024-09-06,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\上海市经济信息化委关于征集上海市低空经济产业重点项目的通知(FBMCLI.14.7788613).pdf,https://www.pkulaw.com/lar/2c374f17d6a286f859e24a1995722c6bbdfb.html,引证码FBMCLI.14.7788613｜有附件｜行政事务性通知(非规范文本)
21,pkulaw,法规,地方规范性文件,上海市经济和信息化委员会、上海虹桥国际中央商务区管理委员会、上海市浦东新区人民政府、上海市长宁区人民政府、上海市闵行...,上海市经济和信息化委员会 上海虹桥商务区管理委员会 上海市浦东新区人民政府 上海市长宁区,沪经信装〔2025〕893号,2025-12-26,2025-12-26,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\上海市经济和信息化委员会、上海虹桥国际中央商务区管理委员会、上海市浦东新区人民政府、上海市长宁区人民政府、上海市闵行...(FBMCLI.12.9599240).pdf,https://www.pkulaw.com/lar/373d287cfec1f164af6a964c52dfd8d4bdfb.html,引证码FBMCLI.12.9599240｜规范性文件但非结构化(通知/公告)
22,pkulaw,法规,地方工作文件,上海市青浦区人民政府办公室关于印发《青浦区低空经济产业高质量发展行动方案(2024—2027年》的通知,上海市青浦区人民政府,青府办发〔2024〕31号,2024-12-31,2024-12-31,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\上海市青浦区人民政府办公室关于印发《青浦区低空经济产业高质量发展行动方案(2024—2027年》的通知(FBMCLI.14.8468575).pdf,https://www.pkulaw.com/lar/578501e61d1cb4753c85f95d9ccdd32cbdfb.html,引证码FBMCLI.14.8468575｜未知位阶/无条文:地方工作文件
23,pkulaw,法规,地方工作文件,东莞市人民政府办公室关于印发《东莞市推动低空经济高质量发展实施方案(2024―2026年)》的通知,东莞市人民政府,东府办〔2024〕16号,2024-07-24,2024-07-24,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\东莞市人民政府办公室关于印发《东莞市推动低空经济高质量发展实施方案(2024―2026年)》的通知(FBMCLI.14.7726745).pdf,https://www.pkulaw.com/lar/40143399bf30f6b0ed34f67b256afb32bdfb.html,引证码FBMCLI.14.7726745｜未知位阶/无条文:地方工作文件
24,pkulaw,法规,行业规定,中国互联网协会关于招募低空经济领域合作伙伴的通知,中国互联网协会,,2025-06-06,2025-06-06,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\中国互联网协会关于招募低空经济领域合作伙伴的通知(FBMCLI.6.5297934).pdf,https://www.pkulaw.com/chl/6fe5925432bef1d7bdfb.html,引证码FBMCLI.6.5297934｜有附件｜规范性文件但非结构化(通知/公告)
25,pkulaw,法规,地方工作文件,中山市人民政府关于印发《中山市低空经济高质量发展行动方案(2026―2028年)》的通知,中山市人民政府,中府〔2026〕114号,2026-07-14,2026-07-14,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\中山市人民政府关于印发《中山市低空经济高质量发展行动方案(2026―2028年)》的通知(FBMCLI.14.10115551).pdf,https://www.pkulaw.com/lar/cb4197c4a63b210a4b26a2b20f3b93e9bdfb.html,引证码FBMCLI.14.10115551｜未知位阶/无条文:地方工作文件
26,pkulaw,法规,地方工作文件,中山市人民政府办公室关于印发中山市低空经济高质量发展行动方案(2024―2027年)的通知,中山市人民政府,中府办〔2024〕22号,2024-07-01,2024-07-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\中山市人民政府办公室关于印发中山市低空经济高质量发展行动方案(2024―2027年)的通知(FBMCLI.14.7669501).pdf,https://www.pkulaw.com/lar/f41e79327636c0e3152df22035a1082bbdfb.html,引证码FBMCLI.14.7669501｜未知位阶/无条文:地方工作文件
27,pkulaw,法规,地方工作文件,中山市推动低空经济高质量发展工作专班办公室关于发布《中山市低空场景供需清单(第一批)》的通知,中山市发展和改革局,中发改高技〔2026〕20号,2026-01-13,2026-01-13,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\中山市推动低空经济高质量发展工作专班办公室关于发布《中山市低空场景供需清单(第一批)》的通知(FBMCLI.14.9612386).pdf,https://www.pkulaw.com/lar/0892ab7c9ee060feb3014c00c73b160dbdfb.html,引证码FBMCLI.14.9612386｜有附件｜未知位阶/无条文:地方工作文件
28,pkulaw,法规,地方工作文件,中山市推动低空经济高质量发展工作专班办公室关于发布《中山市低空场景供需清单(第二批)》的通知,中山市发展和改革局,中发改高技函〔2026〕792号,2026-07-03,2026-07-03,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\中山市推动低空经济高质量发展工作专班办公室关于发布《中山市低空场景供需清单(第二批)》的通知(FBMCLI.14.10100907).pdf,https://www.pkulaw.com/lar/a057f2fdf069489ff1caa6bf540bbd44bdfb.html,引证码FBMCLI.14.10100907｜有附件｜未知位阶/无条文:地方工作文件
29,pkulaw,法规,地方工作文件,九江市人民政府办公室关于印发《九江市促进低空经济加快发展的若干政策措施》的通知,九江市人民政府,九府办发〔2024〕18号,2024-08-01,2024-08-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\九江市人民政府办公室关于印发《九江市促进低空经济加快发展的若干政策措施》的通知(FBMCLI.14.7942707).pdf,https://www.pkulaw.com/lar/9e5345526fe74afa5aa8fa1c7a188479bdfb.html,引证码FBMCLI.14.7942707｜未知位阶/无条文:地方工作文件
30,pkulaw,法规,地方规范性文件,云南省人民政府办公厅关于印发《云南省支持低空经济健康发展的若干措施》的通知,云南省人民政府,云政办发〔2025〕36号,2025-08-03,2025-08-03,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\云南省人民政府办公厅关于印发《云南省支持低空经济健康发展的若干措施》的通知(FBMCLI.12.9076810).pdf,https://www.pkulaw.com/lar/6fab847e2b3a16c160146eff53c748dcbdfb.html,引证码FBMCLI.12.9076810｜规范性文件但非结构化(通知/公告)
31,pkulaw,法规,地方工作文件,云南省人民政府办公厅关于印发《云南省有序拓展低空经济应用场景实施方案》的通知,云南省人民政府,云政办函〔2026〕37号,2026-06-08,2026-06-08,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\云南省人民政府办公厅关于印发《云南省有序拓展低空经济应用场景实施方案》的通知(FBMCLI.14.10024157).pdf,https://www.pkulaw.com/lar/dea4b17aa402364366752c2868407896bdfb.html,引证码FBMCLI.14.10024157｜未知位阶/无条文:地方工作文件
32,pkulaw,法规,,京津冀低空经济产业联盟在津成立,,,,,,,否,pkulaw\raw_pdf\低空经济\低空经济\京津冀低空经济产业联盟在津成立(FBMCLI.N.130324).pdf,https://www.pkulaw.com/news/7785bcb2c835763dbdfb.html,引证码FBMCLI.N.130324｜未知位阶/无条文:空
33,pkulaw,法规,地方工作文件,仪征市人民政府关于印发《仪征市低空经济高质量发展行动方案》的通知,仪征市人民政府,仪政发〔2024〕40号,2024-07-29,2024-07-29,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\仪征市人民政府关于印发《仪征市低空经济高质量发展行动方案》的通知(FBMCLI.14.8572770).pdf,https://www.pkulaw.com/lar/9b85f1a8067eda45ae1682f97d7e274ebdfb.html,引证码FBMCLI.14.8572770｜未知位阶/无条文:地方工作文件
34,pkulaw,法规,部门工作文件,体育总局航管中心关于促进低空经济发展的若干意见,国家体育总局,航管字〔2024〕241号,2024-07-08,2024-07-08,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\体育总局航管中心关于促进低空经济发展的若干意见(FBMCLI.4.5227038).pdf,https://www.pkulaw.com/chl/3161f6a304c1543dbdfb.html,引证码FBMCLI.4.5227038｜部门工作文件(通知/名单)
35,pkulaw,法规,地方工作文件,佛山市人民政府办公室关于印发佛山市推动低空经济高质量发展实施方案(2024—2026年)的通知,佛山市人民政府,佛府办函〔2024〕89号,2024-08-13,2024-08-13,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\佛山市人民政府办公室关于印发佛山市推动低空经济高质量发展实施方案(2024—2026年)的通知(FBMCLI.14.7720281).pdf,https://www.pkulaw.com/lar/881d4a924254130e176fb8cd67e7d216bdfb.html,引证码FBMCLI.14.7720281｜未知位阶/无条文:地方工作文件
36,pkulaw,法规,地方工作文件,佛山市禅城区人民政府办公室关于印发禅城区低空经济高质量发展实施方案的通知,佛山市禅城区人民政府,,2024-10-31,2024-10-31,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\佛山市禅城区人民政府办公室关于印发禅城区低空经济高质量发展实施方案的通知(FBMCLI.14.8041259).pdf,https://www.pkulaw.com/lar/bbc0eb847d8deed71355c8ed0294ff8fbdfb.html,引证码FBMCLI.14.8041259｜有附件｜未知位阶/无条文:地方工作文件
37,pkulaw,法规,地方工作文件,关于《桐乡市支持低空经济高质量发展的若干措施》的通知,桐乡市人民政府,,2024-11-18,2024-12-20,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\关于《桐乡市支持低空经济高质量发展的若干措施》的通知(FBMCLI.14.9280328).pdf,https://www.pkulaw.com/lar/005e8f61b88cb5258071062270c9dbb6bdfb.html,引证码FBMCLI.14.9280328｜未知位阶/无条文:地方工作文件
38,pkulaw,法规,地方工作文件,兴安盟行政公署办公室关于印发《兴安盟低空经济高质量发展三年行动方案(2025—2027年)》的通知,兴安盟行政公署,兴署办字〔2025〕15号,2025-07-21,2025-07-21,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\兴安盟行政公署办公室关于印发《兴安盟低空经济高质量发展三年行动方案(2025—2027年)》的通知(FBMCLI.14.9169890).pdf,https://www.pkulaw.com/lar/69536511cbe4c747638902a744aee7a3bdfb.html,引证码FBMCLI.14.9169890｜有附件｜未知位阶/无条文:地方工作文件
39,pkulaw,法规,地方工作文件,内蒙古自治区人民政府办公厅关于印发自治区低空经济高质量发展实施方案(2024—2027年)的通知,内蒙古自治区人民政府,内政办发〔2024〕38号,2024-09-12,2024-09-12,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\内蒙古自治区人民政府办公厅关于印发自治区低空经济高质量发展实施方案(2024—2027年)的通知(FBMCLI.14.7798727).pdf,https://www.pkulaw.com/lar/a99119b1034f2e4a11fe9311dddd1e1dbdfb.html,引证码FBMCLI.14.7798727｜有附件｜未知位阶/无条文:地方工作文件
40,pkulaw,法规,地方工作文件,北京市经济和信息化局关于征求《北京市促进低空经济产业高质量发展行动方案(2024―2027年)(征求意见稿)》意见建议的通知,北京市经济和信息化局,,2024-05-15,,,,否,pkulaw\raw_pdf\低空经济\低空经济\北京市经济和信息化局关于征求《北京市促进低空经济产业高质量发展行动方案(2024―2027年)(征求意见稿)》意见建议的通知(FBMCLI.DL.32812).pdf,https://www.pkulaw.com/protocol/5215308ce1048abb5b5af30e447fabf2bdfb.html,引证码FBMCLI.DL.32812｜有附件｜未知位阶/无条文:地方工作文件
41,pkulaw,法规,地方工作文件,北京市经济和信息化局等四部门关于印发《北京市促进低空经济产业高质量发展行动方案(2024-2027年)》的通知,北京市经济和信息化局 北京市发展和改革委员会 北京市科学技术委员会 北京市中关村科技园区,京经信发〔2024〕54号,2024-09-30,2024-09-30,废止或失效,,否,pkulaw\raw_pdf\低空经济\低空经济\北京市经济和信息化局等四部门关于印发《北京市促进低空经济产业高质量发展行动方案(2024-2027年)》的通知(FBMCLI.14.7830620).pdf,https://www.pkulaw.com/lar/bb591c13f478c3b577412250371dded1bdfb.html,引证码FBMCLI.14.7830620｜未知位阶/无条文:地方工作文件
42,pkulaw,法规,地方工作文件,区政府办公室关于印发锡山区低空经济高质量发展三年行动方案(2025―2027年)的通知,无锡市锡山区人民政府,锡府办〔2025〕28号,2025-07-14,2025-07-14,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\区政府办公室关于印发锡山区低空经济高质量发展三年行动方案(2025―2027年)的通知(FBMCLI.14.9052032).pdf,https://www.pkulaw.com/lar/053cf5da8ff96617c50421419c2fa0e5bdfb.html,引证码FBMCLI.14.9052032｜有附件｜未知位阶/无条文:地方工作文件
43,pkulaw,法规,地方工作文件,十堰市人民政府关于印发《十堰市低空经济高质量发展实施方案(2024－2026年)》的通知,十堰市人民政府,十政办发〔2024〕17号,2024-05-21,2024-05-21,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\十堰市人民政府关于印发《十堰市低空经济高质量发展实施方案(2024－2026年)》的通知(FBMCLI.14.7568702).pdf,https://www.pkulaw.com/lar/9ed81d433dc2f4a9a9912c880cafbbb4bdfb.html,引证码FBMCLI.14.7568702｜有附件｜未知位阶/无条文:地方工作文件
44,pkulaw,法规,地方工作文件,十堰市人民政府办公室关于印发十堰市低空经济基础设施建设三年行动方案(2024―2026年)的通知,十堰市人民政府,十政办函〔2024〕37号,2024-08-29,2024-08-29,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\十堰市人民政府办公室关于印发十堰市低空经济基础设施建设三年行动方案(2024―2026年)的通知(FBMCLI.14.7789275).pdf,https://www.pkulaw.com/lar/6a7191df1e408a6f12f3221bcdef11cbbdfb.html,引证码FBMCLI.14.7789275｜有附件｜未知位阶/无条文:地方工作文件
45,pkulaw,法规,地方规范性文件,南京市政府办公厅关于印发南京市促进低空经济高质量发展实施方案(2024—2026年)的通知,南京市人民政府,宁政办发〔2024〕25号,2024-05-13,2024-05-13,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\南京市政府办公厅关于印发南京市促进低空经济高质量发展实施方案(2024—2026年)的通知(FBMCLI.12.7484114).pdf,https://www.pkulaw.com/lar/cc880a54531e7448e45565e09c80a5f0bdfb.html,引证码FBMCLI.12.7484114｜规范性文件但非结构化(通知/公告)
46,pkulaw,法规,地方工作文件,南京市科学技术局关于征集低空经济领域科技成果的通知,南京市科学技术局,,2026-04-09,2026-04-09,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\南京市科学技术局关于征集低空经济领域科技成果的通知(FBMCLI.14.9872631).pdf,https://www.pkulaw.com/lar/70d6b2e835643b021a55cb79f46ad8d2bdfb.html,引证码FBMCLI.14.9872631｜有附件｜行政事务性通知(非规范文本)
47,pkulaw,法规,地方规范性文件,南充市人民政府关于印发《关于支持低空经济高质量发展的若干政策措施》的通知,南充市人民政府,南府规〔2024〕4号,2024-10-30,2025-01-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\南充市人民政府关于印发《关于支持低空经济高质量发展的若干政策措施》的通知(FBMCLI.12.7921301).pdf,https://www.pkulaw.com/lar/d0d137d7c41f6deb89e60fff20761fcbbdfb.html,引证码FBMCLI.12.7921301｜规范性文件但非结构化(通知/公告)
48,pkulaw,法规,地方工作文件,南充市人民政府关于印发《南充市低空经济中长期发展规划(2024—2035)》的通知,南充市人民政府,南府发〔2024〕13号,2024-10-30,2024-10-30,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\南充市人民政府关于印发《南充市低空经济中长期发展规划(2024—2035)》的通知(FBMCLI.14.7921305).pdf,https://www.pkulaw.com/lar/8fe0775a7cec6540ade8ee1e55145713bdfb.html,引证码FBMCLI.14.7921305｜有附件｜未知位阶/无条文:地方工作文件
49,pkulaw,法规,地方规范性文件,南宁市人民政府关于印发南宁市支持低空经济高质量发展若干措施(试行)的通知,南宁市人民政府,南府规〔2025〕7号,2025-04-25,2025-04-25,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\南宁市人民政府关于印发南宁市支持低空经济高质量发展若干措施(试行)的通知(FBMCLI.12.8728434).pdf,https://www.pkulaw.com/lar/08a4eacfb695d4d4fb5f4d8cee5664a6bdfb.html,引证码FBMCLI.12.8728434｜规范性文件但非结构化(通知/公告)
50,pkulaw,法规,地方工作文件,南通市政府办公室关于印发南通市低空经济高质量发展行动方案(2024—2027年)的通知,南通市人民政府,通政办发〔2024〕32号,2024-10-10,2024-10-10,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\南通市政府办公室关于印发南通市低空经济高质量发展行动方案(2024—2027年)的通知(FBMCLI.14.7842025).pdf,https://www.pkulaw.com/lar/92d26207c4b12da647580ce404c46f1bbdfb.html,引证码FBMCLI.14.7842025｜未知位阶/无条文:地方工作文件
51,pkulaw,法规,地方规范性文件,合肥市人民代表大会常务委员会关于促进低空经济发展的决定,合肥市人大(含常委会),,2024-10-25,2024-10-25,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\合肥市人民代表大会常务委员会关于促进低空经济发展的决定(FBMCLI.12.9212068).pdf,https://www.pkulaw.com/lar/a4c32d12e7c11d45bdc64ecccda73b98bdfb.html,引证码FBMCLI.12.9212068｜规范性文件但非结构化(通知/公告)
52,pkulaw,法规,地方规范性文件,合肥市人民政府办公室关于印发合肥市支持低空经济发展若干政策的通知,合肥市人民政府,合政办秘〔2024〕19号,2024-06-20,2024-06-20,废止或失效,,否,pkulaw\raw_pdf\低空经济\低空经济\合肥市人民政府办公室关于印发合肥市支持低空经济发展若干政策的通知(FBMCLI.12.7655329).pdf,https://www.pkulaw.com/lar/b7d53434743880e2c70397cfa9864dcabdfb.html,引证码FBMCLI.12.7655329｜规范性文件但非结构化(通知/公告)
53,pkulaw,法规,地方工作文件,启东市政府办公室关于印发启东市低空经济高质量发展三年行动计划(2025—2027年)的通知,启东市人民政府,启政办发〔2024〕45号,2024-12-16,2024-12-16,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\启东市政府办公室关于印发启东市低空经济高质量发展三年行动计划(2025—2027年)的通知(FBMCLI.14.8473431).pdf,https://www.pkulaw.com/lar/01362f5db4d8a00cda39e2024483dbc6bdfb.html,引证码FBMCLI.14.8473431｜有附件｜未知位阶/无条文:地方工作文件
54,pkulaw,法规,地方工作文件,呼伦贝尔市人民政府办公室关于印发低空经济发展实施方案(2025—2027年)的通知,呼伦贝尔市人民政府,呼政办发〔2025〕16号,2025-06-27,2025-06-27,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\呼伦贝尔市人民政府办公室关于印发低空经济发展实施方案(2025—2027年)的通知(FBMCLI.14.8909357).pdf,https://www.pkulaw.com/lar/bd5ab0ec0645da3d4f8192dd36f78971bdfb.html,引证码FBMCLI.14.8909357｜未知位阶/无条文:地方工作文件
